banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
2.725.7322.725.732,28.288,2.739.8762.739.876,"54,57 54,57 ","16,69 16,69 ",1.567.685 1.567.685 ,1.000.879 1.000.879 ,120.960 120.960 ,33.056,67.648,16.938,342.488,2.279.8752.279.875,243.574,77.846,412.0,4.0374.037,0.0,2.624.5422.624.542
1.289.2041.289.204,21.428,1.299.9181.299.918,"112,25 112,25 ","42,66 42,66 ",445.569 445.569 ,820.161 820.161 ,17.767 17.767 ,3.732,29.11,1704.0,177.652,1.096.0501.096.050,140.586,77.596,110.0,6.2086.208,0.0,1.301.0811.301.081
24.20924.209,46.0,24.23224.232,"24,25 24,25 ","6,18 6,18 ",24.126 24.126 ,46 46 ,17 17 ,0.0,86.0,38.0,18.294,13.33013.330,3.344,128.0,0.0,00,0.0,24.23224.232
62.52062.520,72.0,62.55662.556,"20,72 20,72 ","5,55 5,55 ",52.971 52.971 ,9.497 9.497 ,30 30 ,0.0,116.0,876.0,31.698,40.86940.869,9.288,1482.0,10.0,00,0.0,62.54662.546
68.20568.205,4.032,70.22170.221,"41,24 41,24 ","12,70 12,70 ",51.066 51.066 ,539 539 ,866 866 ,21.552,13.948,14.904,20.0,61.32961.329,0.0,0.0,0.0,00,0.0,68.79168.791
62.20362.203,66.0,62.23662.236,"22,32 22,32 ","5,89 5,89 ",52.565 52.565 ,8.279 8.279 ,31 31 ,2.612,110.0,40.0,32.714,40.74240.742,8.972,1260.0,0.0,00,0.0,62.23562.235
566.705566.705,410.0,566.910566.910,"52,52 52,52 ","16,13 16,13 ",336.841 336.841 ,225.769 225.769 ,347 347 ,7.17,736.0,4.152,215.41,423.114423.114,48.224,19.636,80.0,588588,0.0,567.453567.453
134.216134.216,230.0,134.331134.331,"34,37 34,37 ","10,30 10,30 ",107.883 107.883 ,21.379 21.379 ,49 49 ,9.774,266.0,4.354,70.412,85.24885.248,21.656,1492.0,0.0,4343,0.0,134.248134.248
25.33525.335,174.0,25.42225.422,"17,42 17,42 ","4,44 4,44 ",20.774 20.774 ,4.548 4.548 ,0 0 ,0.0,200.0,4.124,16.95,13.68513.685,2.266,134.0,0.0,00,0.0,25.42225.422
33.82533.825,4.0,33.82733.827,"18,42 18,42 ","4,72 4,72 ",29.765 29.765 ,4.030 4.030 ,23 23 ,0.0,18.0,3.664,22.996,18.41518.415,4.004,112.0,0.0,00,0.0,33.80333.803
53.60153.601,1184.0,54.19354.193,"48,43 48,43 ","15,99 15,99 ",15.826 15.826 ,31.305 31.305 ,513 513 ,11.696,1402.0,14.868,13.07,32.50132.501,34.0,10.0,8.0,1010,0.0,46.50646.506
15.68815.688,46.0,15.71115.711,"16,29 16,29 ","4,35 4,35 ",15.663 15.663 ,0 0 ,14 14 ,0.0,68.0,20.0,10.222,9.3909.390,2.33,70.0,0.0,00,0.0,15.71115.711
164.084164.084,3.522,165.845165.845,"31,91 31,91 ","8,93 8,93 ",148.970 148.970 ,12.076 12.076 ,2.480 2.480 ,74.0,4.564,70.0,12.0,166.655166.655,38.0,20.0,12.0,99,0.0,166.740166.740
73.95073.950,0.0,73.95073.950,"23,14 23,14 ","6,32 6,32 ",56.597 56.597 ,17.191 17.191 ,4 4 ,300.0,16.0,1090.0,28.92,52.85252.852,10.278,1916.0,0.0,00,0.0,73.95473.954
88.07788.077,4.606,90.38090.380,"49,79 49,79 ","14,88 14,88 ",47.790 47.790 ,28.161 28.161 ,997 997 ,20.762,6.102,8.266,1974.0,77.14877.148,168.0,3.164,4.0,2222,0.0,83.95883.958
93.90993.909,2.314,95.06695.066,"44,91 44,91 ","13,87 13,87 ",64.886 64.886 ,24.156 24.156 ,876 876 ,7.152,3.144,9.34,9.236,84.30484.304,146.0,2.124,2.0,88,0.0,94.73694.736
2.750.4302.750.430,28.232,2.764.5462.764.546,"55,06 55,06 ","16,79 16,79 ",1.568.881 1.568.881 ,1.025.490 1.025.490 ,120.008 120.008 ,34.04,66.294,13.804,324.548,2.288.7722.288.772,280.452,113.098,568.0,4.3094.309,0.0,2.659.3162.659.316
1.299.5021.299.502,21.426,1.310.2151.310.215,"113,14 113,14 ","42,97 42,97 ",447.637 447.637 ,828.411 828.411 ,17.729 17.729 ,3.766,29.11,1694.0,162.862,1.078.2131.078.213,174.718,112.008,118.0,6.4276.427,0.0,1.310.3401.310.340
24.66024.660,46.0,24.68324.683,"24,70 24,70 ","6,28 6,28 ",24.380 24.380 ,243 243 ,17 17 ,0.0,86.0,38.0,17.688,13.79413.794,3.83,222.0,0.0,00,0.0,24.68324.683
63.24363.243,72.0,63.27963.279,"20,96 20,96 ","5,60 5,60 ",53.321 53.321 ,9.870 9.870 ,30 30 ,0.0,116.0,824.0,29.708,41.53041.530,10.836,2.17,10.0,00,0.0,63.30463.304
68.50368.503,4.032,70.51970.519,"41,41 41,41 ","12,70 12,70 ",51.070 51.070 ,649 649 ,866 866 ,21.92,13.948,4.128,13.164,61.86861.868,0.0,0.0,0.0,00,0.0,70.51470.514
62.92562.925,66.0,62.95862.958,"22,58 22,58 ","5,95 5,95 ",52.883 52.883 ,8.680 8.680 ,31 31 ,2.618,110.0,40.0,31.126,41.21941.219,10.398,1912.0,0.0,00,0.0,62.95762.957
576.747576.747,410.0,576.952576.952,"53,45 53,45 ","16,37 16,37 ",337.825 337.825 ,234.729 234.729 ,351 351 ,7.346,748.0,4.21,203.196,429.536429.536,57.396,29.648,152.0,627627,0.0,577.464577.464
135.468135.468,230.0,135.583135.583,"34,69 34,69 ","10,37 10,37 ",108.900 108.900 ,21.706 21.706 ,49 49 ,9.59,266.0,4.374,65.562,86.75786.757,25.128,2.324,0.0,4444,0.0,135.495135.495
25.53525.535,130.0,25.60025.600,"17,54 17,54 ","4,46 4,46 ",20.894 20.894 ,4.628 4.628 ,0 0 ,0.0,156.0,4.064,16.436,13.94413.944,2.642,170.0,0.0,00,0.0,25.60025.600
34.35934.359,4.0,34.36134.361,"18,71 18,71 ","4,78 4,78 ",30.128 30.128 ,4.161 4.161 ,23 23 ,80.0,18.0,3.746,22.466,18.85118.851,4.61,164.0,0.0,00,0.0,34.34434.344
55.04855.048,1160.0,55.62855.628,"49,71 49,71 ","16,38 16,38 ",15.957 15.957 ,32.600 32.600 ,513 513 ,11.738,1378.0,14.064,13.522,34.08934.089,36.0,10.0,8.0,1010,0.0,47.91947.919
15.88915.889,46.0,15.91215.912,"16,50 16,50 ","4,39 4,39 ",15.864 15.864 ,0 0 ,14 14 ,0.0,68.0,20.0,9.57,9.7199.719,2.674,122.0,0.0,00,0.0,15.91215.912
165.046165.046,3.522,166.807166.807,"32,10 32,10 ","8,96 8,96 ",148.979 148.979 ,13.030 13.030 ,2.480 2.480 ,72.0,4.564,70.0,12.0,166.710166.710,62.0,20.0,10.0,1010,0.0,166.807166.807
74.68974.689,0.0,74.68974.689,"23,37 23,37 ","6,37 6,37 ",56.933 56.933 ,17.594 17.594 ,4 4 ,300.0,16.0,1080.0,27.288,53.24553.245,11.848,2.668,4.0,00,0.0,74.68974.689
90.05390.053,4.47,92.28892.288,"50,84 50,84 ","15,14 15,14 ",47.767 47.767 ,29.776 29.776 ,997 997 ,21.53,5.966,3.062,6.412,79.08779.087,184.0,4.578,4.0,3030,0.0,86.23786.237
94.81294.812,2.29,95.95795.957,"45,33 45,33 ","13,95 13,95 ",64.920 64.920 ,24.944 24.944 ,876 876 ,7.314,3.12,6.936,11.014,84.97884.978,156.0,3.138,4.0,88,0.0,95.61095.610
91.94991.949,50.0,91.97491.974,"28,91 28,91 ","7,00 7,00 ",73.841 73.841 ,17.504 17.504 ,45 45 ,14.0,1154.0,106.0,37.636,64.44064.440,16.586,776.0,0.0,00,0.0,91.99291.992
50.89150.891,1510.0,51.64651.646,"27,78 27,78 ","7,08 7,08 ",48.161 48.161 ,451 451 ,722 722 ,2.278,2.346,20.0,1014.0,51.12951.129,0.0,0.0,0.0,00,0.0,51.64651.646
