año,trimestre,provincia,banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
2014,1,Buenos Aires,2.725.732,14.144,2.739.876,"54,57 ","16,69 ",1.567.685 ,1.000.879 ,120.960 ,16.528,33.824,8.469,171.244,2.279.875,121.787,38.923,206.0,4.037,0.0,2.624.542
2014,1,Buenos Aires,2.725.732,14.144,2.739.876,"54,57 ","16,69 ",1.567.685 ,1.000.879 ,120.960 ,16.528,33.824,8.469,171.244,2.279.875,121.787,38.923,206.0,4.037,0.0,2.624.542
2014,1,Capital Federal,1.289.204,10.714,1.299.918,"112,25 ","42,66 ",445.569 ,820.161 ,17.767 ,1.866,14.555,852.0,88.826,1.096.050,70.293,38.798,55.0,6.208,0.0,1.301.081
2014,1,Capital Federal,1.289.204,10.714,1.299.918,"112,25 ","42,66 ",445.569 ,820.161 ,17.767 ,1.866,14.555,852.0,88.826,1.096.050,70.293,38.798,55.0,6.208,0.0,1.301.081
2014,1,Catamarca,24.209,23.0,24.232,"24,25 ","6,18 ",24.126 ,46 ,17 ,0.0,43.0,19.0,9.147,13.330,1.672,64.0,0.0,0,0.0,24.232
2014,1,Catamarca,24.209,23.0,24.232,"24,25 ","6,18 ",24.126 ,46 ,17 ,0.0,43.0,19.0,9.147,13.330,1.672,64.0,0.0,0,0.0,24.232
2014,1,Chaco,62.520,36.0,62.556,"20,72 ","5,55 ",52.971 ,9.497 ,30 ,0.0,58.0,438.0,15.849,40.869,4.644,741.0,5.0,0,0.0,62.546
2014,1,Chaco,62.520,36.0,62.556,"20,72 ","5,55 ",52.971 ,9.497 ,30 ,0.0,58.0,438.0,15.849,40.869,4.644,741.0,5.0,0,0.0,62.546
2014,1,Chubut,68.205,2.016,70.221,"41,24 ","12,70 ",51.066 ,539 ,866 ,10.776,6.974,7.452,10.0,61.329,0.0,0.0,0.0,0,0.0,68.791
2014,1,Chubut,68.205,2.016,70.221,"41,24 ","12,70 ",51.066 ,539 ,866 ,10.776,6.974,7.452,10.0,61.329,0.0,0.0,0.0,0,0.0,68.791
2014,1,Corrientes,62.203,33.0,62.236,"22,32 ","5,89 ",52.565 ,8.279 ,31 ,1.306,55.0,20.0,16.357,40.742,4.486,630.0,0.0,0,0.0,62.235
2014,1,Corrientes,62.203,33.0,62.236,"22,32 ","5,89 ",52.565 ,8.279 ,31 ,1.306,55.0,20.0,16.357,40.742,4.486,630.0,0.0,0,0.0,62.235
2014,1,Córdoba,566.705,205.0,566.910,"52,52 ","16,13 ",336.841 ,225.769 ,347 ,3.585,368.0,2.076,107.705,423.114,24.112,9.818,40.0,588,0.0,567.453
2014,1,Córdoba,566.705,205.0,566.910,"52,52 ","16,13 ",336.841 ,225.769 ,347 ,3.585,368.0,2.076,107.705,423.114,24.112,9.818,40.0,588,0.0,567.453
2014,1,Entre Ríos,134.216,115.0,134.331,"34,37 ","10,30 ",107.883 ,21.379 ,49 ,4.887,133.0,2.177,35.206,85.248,10.828,746.0,0.0,43,0.0,134.248
2014,1,Entre Ríos,134.216,115.0,134.331,"34,37 ","10,30 ",107.883 ,21.379 ,49 ,4.887,133.0,2.177,35.206,85.248,10.828,746.0,0.0,43,0.0,134.248
2014,1,Formosa,25.335,87.0,25.422,"17,42 ","4,44 ",20.774 ,4.548 ,0 ,0.0,100.0,2.062,8.475,13.685,1.133,67.0,0.0,0,0.0,25.422
