año,trimestre,accesos por cada 100 hogares,accesos por cada 100 hab,mbps (media de bajada),banda ancha fija,dial up,hasta 512 kbps,entre 512 kbps y 1 mbps,entre 1 mbps y 6 mbps,entre 6 mbps y 10 mbps,entre 10 mbps y 20 mbps,entre 20 mbps y 30 mbps,más de 30 mbps,Otros Mbps,ingresos (miles de pesos),periodo_ingresos,adsl,cablemodem,fibra óptica,wireless,Otras conexiones,Total Mbps-conexiones
2024,2,"78,13","24,57","139,25 ",11.544.314 ,11.793,28151.0,67024.0,840200.0,911374.0,662649.0,348253.0,8357088.0,341368.0,"442.032.166,69 ", Abr-Jun 2024 , 733.491 , 5.867.504 , 4.169.958 ,593.197,191.957, 11.556.107 
2024,1,"78,89","24,79","139,15 ",11.621.363 ,11.793,28801.0,69355.0,866152.0,950930.0,672155.0,353896.0,8363694.0,328173.0,"346.198.986,13 ", Ene-Mar 2024 , 774.475 , 5.986.957 , 4.015.101 ,598.682,257.941, 11.633.156 
2023,4,"78,56","24,66","139,04 ",11.535.868 ,11.793,29708.0,71742.0,900253.0,978108.0,697232.0,350290.0,8224736.0,295592.0,"167.376.014,80 ", Oct-Dic 2023 , 836.390 , 6.022.532 , 3.908.183 ,585.76,194.796, 11.547.661 
2023,3,"77,84","24,41","129,67 ",11.395.115 ,11.793,30274.0,80609.0,945608.0,998725.0,720084.0,350918.0,8003269.0,277421.0,"133.106.593,41 ", Jul-Sept 2023 , 897.895 , 6.018.832 , 3.708.718 ,581.436,200.027, 11.406.908 
2023,2,"77,02","24,14","123,95 ",11.239.781 ,12.116,30827.0,79405.0,963510.0,1028250.0,734125.0,364730.0,7775095.0,275955.0,"118.060.280,28 ", Jun-Mar 2023 , 1.006.509 , 5.997.149 , 3.463.988 ,581.823,202.428, 11.251.897 
2022,4,"77,21","24,15","106,56 ",11.195.668 ,12.446,31981.0,85668.0,1075272.0,1109421.0,765015.0,335573.0,7410902.0,394282.0,"72.443.482,99 ", Oct-Dic 2022 , 1.315.373 , 6.037.457 , 3.060.575 ,572.969,221.74, 11.208.114 
2022,3,"76,64","23,95","62,46 ",11.078.691 ,12.437,33013.0,96727.0,1161370.0,1151906.0,823505.0,479822.0,6995750.0,349035.0,"64.086.784,33 ", Jul-Sept 2022 , 1.395.277 , 6.031.970 , 2.871.541 ,557.11,235.23, 11.091.128 
2022,2,"75,97","23,72","58,44 ",10.946.248 ,12.436,33667.0,99498.0,1193090.0,1197030.0,856562.0,485321.0,6741922.0,351594.0,"60.419.500,62 ", Abr-Jun 2022 , 1.468.333 , 5.979.214 , 2.723.285 ,556.243,231.609, 10.958.684 
2022,1,"73,88","23,05","55,11 ",10.611.390 ,12.619,3489.0,10484.0,1263273.0,1209148.0,967508.0,509830.0,6336187.0,198333.0,"55.219.313,01 ", Ene-Mar 2022 , 1.533.240 , 6.073.426 , 2.219.533 ,545.814,251.996, 10.624.009 
2021,4,"73,18","22,81","52,34 ",10.476.933 ,12.861,41262.0,28521.0,1413208.0,1245333.0,976539.0,558358.0,6032322.0,194251.0,"45.467.887,17 ", Oct-Dic 2021 , 1.657.615 , 5.984.240 , 2.072.236 ,523.107,252.596, 10.489.794 
2021,3,"70,58","21,98","48,46 ",10.075.184 ,10.357,40174.0,41437.0,2550229.0,1095772.0,710122.0,536364.0,4948174.0,163269.0,"42.999.944,29 ", Jul-Sept 2021 , 1.950.631 , 5.826.257 , 1.566.048 ,492.415,250.19, 10.085.541 
2021,2,"69,24","21,55","45,63 ",9.852.702 ,10.382,40172.0,42024.0,2531271.0,1080279.0,693277.0,647401.0,4661291.0,167369.0,"38.239.666,63 ", Abr-Jun 2021 , 2.018.587 , 5.641.731 , 1.472.246 ,476.968,253.552, 9.863.084 
2021,1,"67,95","21,13","43,11 ",9.637.956 ,10.016,39487.0,41674.0,2593477.0,1072722.0,737930.0,595920.0,4379965.0,186797.0,"36.676.371,36 ", Ene-Mar 2021 , 2.175.211 , 5.424.782 , 1.362.976 ,434.548,250.455, 9.647.972 
2020,4,"67,62","21,01","42,36 ",9.561.546 ,10.016,3951.0,42185.0,2622638.0,1073875.0,786595.0,582420.0,4239237.0,185102.0,"33.539.702,72 ", Oct-Dic 2020 , 2.213.949 , 5.371.824 , 1.311.199 ,421.554,253.036, 9.571.562 
2020,3,"66,31","20,59","40,67 ",9.346.183 ,10.016,41038.0,44005.0,2637984.0,1040017.0,799350.0,538567.0,4053461.0,201777.0,"31.997.444,53 ", Jul-Sept 2020 , 2.263.889 , 5.259.351 , 1.170.879 ,413.259,248.821, 9.356.199 
2020,2,"64,21","19,92","38,32 ",9.021.040 ,10.016,41038.0,4869.0,2651502.0,1053107.0,807775.0,523437.0,3711499.0,194008.0,"32.102.475,99 ", Abr-Jun 2020 , 2.295.533 , 5.005.115 , 1.106.725 ,376.667,247.016, 9.031.056 
2020,1,"62,86","19,48","37,52 ",8.802.435 ,9.991,4255.0,5617.0,2649819.0,1022014.0,814470.0,532309.0,3500882.0,194212.0,"29.946.216,45 ", Ene-Mar 2020 , 2.299.457 , 4.903.674 , 1.047.817 ,352.333,209.145, 8.812.426 
2019,4,"62,92","19,49","28,26 ",8.783.053 ,10.128,38272.0,2898.0,2792307.0,1046128.0,851619.0,1004083.0,2830746.0,201046.0,"24.169.250,70 ", Oct-Dic 2019 , 2.414.575 , 4.883.869 , 941.295 ,340.144,213.298, 8.793.181 
2019,3,"65,79","20,36","24,18 ",9.142.891 ,21.793,241713.0,80599.0,3309137.0,1026859.0,806466.0,1141545.0,2314898.0,243467.0,"21.652.748,44 ", Jul-Sept 2019 , 2.909.805 , 4.800.091 , 852.221 ,338.241,264.326, 9.164.684 
2019,2,"64,53","19,96","20,33 ",8.938.427 ,21.754,20279.0,9598.0,3444458.0,871142.0,1169632.0,1250366.0,1677830.0,247983.0,"20.743.117,69 ", Abr-Jun 2019 , 2.990.457 , 4.635.575 , 760.794 ,308.027,265.328, 8.960.181 
