Provincia,Partido,Localidad,Tecnologia,Link Indec,Accesos_x,Velocidad (Mbps),Accesos_y
buenos aires,25 de mayo,25 de mayo,ADSL,6854100,755 ,,
buenos aires,25 de mayo,25 de mayo,CABLEMODEM,6854100,4.600 ,,
buenos aires,25 de mayo,25 de mayo,FIBRA OPTICA,6854100,2 ,,
buenos aires,25 de mayo,25 de mayo,SATELITAL,6854100,742 ,,
buenos aires,25 de mayo,25 de mayo,WIRELESS,6854100,727 ,,
buenos aires,25 de mayo,del valle,ADSL,6854020,181 ,,
buenos aires,25 de mayo,del valle,Otros,6854020,10 ,,
buenos aires,25 de mayo,del valle,SATELITAL,6854020,1 ,,
buenos aires,25 de mayo,ernestina,ADSL,6854030,75 ,,
buenos aires,25 de mayo,gobernador ugarte,WIRELESS,6854040,181 ,,
buenos aires,25 de mayo,lucas monteverde,WIRELESS,6854050,6 ,,
buenos aires,25 de mayo,norberto de la riestra,CABLEMODEM,6854060,782 ,,
buenos aires,25 de mayo,norberto de la riestra,FIBRA OPTICA,6854060,496 ,,
buenos aires,25 de mayo,norberto de la riestra,Otros,6854060,16 ,,
buenos aires,25 de mayo,norberto de la riestra,WIRELESS,6854060,185 ,,
buenos aires,25 de mayo,pedernales,ADSL,6854070,154 ,,
buenos aires,25 de mayo,pedernales,FIBRA OPTICA,6854070,25 ,,
buenos aires,25 de mayo,pedernales,Otros,6854070,21 ,,
buenos aires,25 de mayo,pedernales,WIRELESS,6854070,7 ,,
buenos aires,9 de julio,12 de octubre,WIRELESS,6588030,19 ,,
buenos aires,9 de julio,9 de julio,ADSL,6588100,4.241 ,,
buenos aires,9 de julio,9 de julio,CABLEMODEM,6588100,3.463 ,,
buenos aires,9 de julio,9 de julio,DIAL UP,6588100,80 ,,
buenos aires,9 de julio,9 de julio,FIBRA OPTICA,6588100,6.238 ,,
buenos aires,9 de julio,9 de julio,WIRELESS,6588100,831 ,,
buenos aires,9 de julio,alfredo demarchi  (est. facundo quiroga),ADSL,6588010,450 ,,
buenos aires,9 de julio,alfredo demarchi  (est. facundo quiroga),Otros,6588010,60 ,,
buenos aires,9 de julio,dudignac,WIRELESS,6588040,474 ,,
buenos aires,9 de julio,manuel b. gonnet  (est. french),ADSL,6588060,193 ,,
buenos aires,9 de julio,manuel b. gonnet  (est. french),FIBRA OPTICA,6588060,2 ,,
buenos aires,9 de julio,manuel b. gonnet  (est. french),Otros,6588060,2 ,,
buenos aires,9 de julio,morea,WIRELESS,6588080,130 ,,
buenos aires,9 de julio,patricios,ADSL,6588110,81 ,,
buenos aires,9 de julio,patricios,WIRELESS,6588110,50 ,,
buenos aires,9 de julio,villa general fournier  (est. 9 de julio sud),FIBRA OPTICA,6588120,118 ,,
buenos aires,9 de julio,villa general fournier  (est. 9 de julio sud),WIRELESS,6588120,42 ,,
buenos aires,adolfo alsina,carhué,ADSL,6007010,766 ,,
buenos aires,adolfo alsina,carhué,DIAL UP,6007010,1 ,,
buenos aires,adolfo alsina,carhué,FIBRA OPTICA,6007010,1.417 ,,
buenos aires,adolfo alsina,carhué,Otros,6007010,1 ,,
buenos aires,adolfo alsina,carhué,WIRELESS,6007010,1.073 ,,
buenos aires,adolfo alsina,colonia san miguel arcángel,FIBRA OPTICA,6007020,208 ,,
buenos aires,adolfo alsina,esteban agustín gascón,FIBRA OPTICA,6007050,60 ,,
buenos aires,adolfo alsina,maza,FIBRA OPTICA,6007070,390 ,,
buenos aires,adolfo alsina,maza,SATELITAL,6007070,2 ,,
buenos aires,adolfo alsina,maza,WIRELESS,6007070,14 ,,
